Название;Комнат;Номер квартиры;Статус;Площадь;Цена;Отделка
Май, корп. 1, кв.1;СТ;1;Продажа;29,4;1850000;0
Май, корп. 1, кв.2;СТ;2;Продажа;29,2;1988520;0
Май, корп. 1, кв.3;1К;3;Продажа;39,9;2532054;0
Май, корп. 1, кв.4;1К;4;Продажа;42;2581152;0
Май, корп. 1, кв.5;1К;5;Продажа;41,9;2960238,77;0
Май, корп. 1, кв.6;1К;6;Продажа;39,6;2408314;0
Май, корп. 1, кв.7;СТ;7;Продажа;29,2;2154960;0
Май, корп. 1, кв.8;СТ;8;Продажа;29,4;2169720;0
Май, корп. 1, кв.9;СТ;9;Продажа;29,4;2169720;0
Май, корп. 1, кв.10;1К;10;Продажа;39,6;2797743,56;0
Май, корп. 1, кв.11;1К;11;Продажа;40,6;2545620;0
Май, корп. 1, кв.12;2К;12;Продажа;62,8;3753832;0
Май, корп. 1, кв.13;СТ;13;Продажа;28,8;1895293;0
Май, корп. 1, кв.14;СТ;14;Продажа;28,9;1848083;0
Май, корп. 1, кв.15;1К;15;Продажа;39,9;2752160;0
Май, корп. 1, кв.16;1К;16;Продажа;41,4;2591640;0
Май, корп. 1, кв.17;1К;17;Продажа;41,7;2928323,41;0
Май, корп. 1, кв.18;1К;18;Продажа;39;2953532,79;0
Май, корп. 1, кв.19;СТ;19;Продажа;29;1934300;0
Май, корп. 1, кв.20;СТ;20;Продажа;28,8;1807266;0
Май, корп. 1, кв.21;СТ;21;Продажа;29,2;2137843,54;0
Май, корп. 1, кв.22;1К;22;Продажа;39;2866950,84;0
Май, корп. 1, кв.23;1К;23;Продажа;40,5;2620860;0
Май, корп. 1, кв.24;1К;24;Продажа;39,9;2300634;0
Май, корп. 1, кв.25;1К;25;Продажа;44,7;3164800;0
Май, корп. 1, кв.26;СТ;26;Продажа;28,8;1863216;0
Май, корп. 1, кв.27;СТ;27;Продажа;28,6;1702272;0
Май, корп. 1, кв.28;1К;28;Продажа;39,3;2460180;0
Май, корп. 1, кв.29;1К;29;Продажа;41,4;2668727;0
Май, корп. 1, кв.30;1К;30;Продажа;41,7;2928323,41;0
Май, корп. 1, кв.31;1К;31;Продажа;39;2953532,79;0
Май, корп. 1, кв.32;СТ;32;Продажа;29;2021010;0
Май, корп. 1, кв.33;СТ;33;Продажа;28,8;1940169,6;0
Май, корп. 1, кв.34;СТ;34;Продажа;29,2;1838727;0
Май, корп. 1, кв.35;1К;35;Продажа;39;2953532,79;0
Май, корп. 1, кв.36;1К;36;Продажа;40;2812000;0
Май, корп. 1, кв.37;1К;37;Продажа;40,4;2404422;0
Май, корп. 1, кв.38;1К;38;Продажа;43,8;2721032;0
Май, корп. 1, кв.39;СТ;39;Продажа;28,8;1804819;0
Май, корп. 1, кв.40;СТ;40;Продажа;28,6;1702272;0
Май, корп. 1, кв.41;1К;41;Продажа;39,3;2625240;0
Май, корп. 1, кв.42;1К;42;Продажа;41,4;3084495,82;0
Май, корп. 1, кв.43;1К;43;Продажа;41,7;3091480;0
Май, корп. 1, кв.44;1К;44;Продажа;39;2953532,79;0
Май, корп. 1, кв.45;СТ;45;Продажа;29;2059020;0
Май, корп. 1, кв.46;СТ;46;Продажа;28,8;1940169,6;0
Май, корп. 1, кв.47;СТ;47;Продажа;29,2;1950920;0
Май, корп. 1, кв.48;1К;48;Продажа;39;2953532,79;0
Май, корп. 1, кв.49;1К;49;Продажа;40,5;2733265,62;0
Май, корп. 1, кв.50;1К;50;Продажа;39,9;2529000;0
Май, корп. 1, кв.51;1К;51;Продажа;44,4;2720064;0
Май, корп. 1, кв.52;СТ;52;Продажа;28,8;1660608;0
Май, корп. 1, кв.53;СТ;53;Продажа;28,6;1776309;0
Май, корп. 1, кв.54;1К;54;Свободно;39,1;3150986,89;0
Май, корп. 1, кв.55;1К;55;Продажа;42;2629349;0
Май, корп. 1, кв.56;1К;56;Продажа;41,7;2791683;0
Май, корп. 1, кв.57;1К;57;Продажа;39;2330445;0
Май, корп. 1, кв.58;СТ;58;Продажа;29;1980000;0
Май, корп. 1, кв.59;СТ;59;Продажа;28,8;1805760;0
Май, корп. 1, кв.60;СТ;60;Продажа;29,2;1957000;0
Май, корп. 1, кв.61;1К;61;Продажа;39;2741700;0
Май, корп. 1, кв.62;1К;62;Продажа;40;2432000;0
Май, корп. 1, кв.63;1К;63;Продажа;40,4;2502000;0
Май, корп. 1, кв.64;1К;64;Продажа;44,4;2635062;0
Май, корп. 1, кв.65;2К;65;Продажа;51,8;3438951;0
Май, корп. 1, кв.66;1К;66;Продажа;38,9;2544060;0
Май, корп. 1, кв.67;СТ;67;Продажа;30,1;2158170;0
Май, корп. 1, кв.68;СТ;68;Продажа;29,2;1919674,87;0
Май, корп. 1, кв.69;СТ;69;Продажа;29,4;1933709;0
Май, корп. 1, кв.70;1К;70;Продажа;41,7;3035081,12;0
Май, корп. 1, кв.71;1К;71;Продажа;42;2384760;0
Май, корп. 1, кв.72;СТ;72;Продажа;29,4;1601683;0
Май, корп. 1, кв.73;СТ;73;Продажа;29,4;1871068;0
Май, корп. 1, кв.74;СТ;74;Продажа;29,4;1897891;0
Май, корп. 1, кв.75;1К;75;Продажа;50,3;3148780;0
Май, корп. 1, кв.76;2К;76;Продажа;51,2;3450880;0
Май, корп. 1, кв.77;1К;77;Продажа;38,4;2551585;0
Май, корп. 1, кв.78;СТ;78;Продажа;29,5;2115150;0
Май, корп. 1, кв.79;СТ;79;Продажа;28,6;1951960,01;0
Май, корп. 1, кв.80;СТ;80;Продажа;29,2;1940616;0
Май, корп. 1, кв.81;1К;81;Продажа;41,1;2790690;0
Май, корп. 1, кв.82;1К;82;Продажа;41,4;2591640;0
Май, корп. 1, кв.83;СТ;83;Продажа;29,1;1873295;0
Май, корп. 1, кв.84;СТ;84;Продажа;28,8;1875197;0
Май, корп. 1, кв.85;СТ;85;Продажа;28,8;1882828;0
Май, корп. 1, кв.86;СТ;86;Продажа;28,6;1758128;0
Май, корп. 1, кв.87;СТ;87;Продажа;29,6;1903192;0
Май, корп. 1, кв.88;2К;88;Продажа;51,2;3460084;0
Май, корп. 1, кв.89;1К;89;Продажа;38,4;2438500;0
Май, корп. 1, кв.90;СТ;90;Продажа;29,5;2287105,5;0
Май, корп. 1, кв.91;СТ;91;Продажа;28,6;1730758;0
Май, корп. 1, кв.92;СТ;92;Продажа;29,2;2095924,9;0
Май, корп. 1, кв.93;1К;93;Продажа;40,9;3097422,85;0
Май, корп. 1, кв.94;1К;94;Продажа;41,4;2591640;0
Май, корп. 1, кв.95;СТ;95;Продажа;28,8;1804378;0
Май, корп. 1, кв.96;СТ;96;Продажа;28,8;2109957,12;0
Май, корп. 1, кв.97;СТ;97;Продажа;28,8;1608250;0
Май, корп. 1, кв.98;СТ;98;Продажа;28,6;1845832;0
Май, корп. 1, кв.99;СТ;99;Продажа;29,3;1689438;0
Май, корп. 1, кв.100;2К;100;Продажа;51,2;3277824;0
Май, корп. 1, кв.101;1К;101;Продажа;38,4;2438500;0
Май, корп. 1, кв.102;СТ;102;Продажа;29,5;1911600;0
Май, корп. 1, кв.103;СТ;103;Продажа;28,6;1941825,89;0
Май, корп. 1, кв.104;СТ;104;Продажа;29,2;2034483,5;0
Май, корп. 1, кв.105;1К;105;Продажа;41,1;3112569,17;0
Май, корп. 1, кв.106;1К;106;Продажа;41,4;2591640;0
Май, корп. 1, кв.107;СТ;107;Продажа;28,8;1714176;0
Май, корп. 1, кв.108;СТ;108;Продажа;29,1;1779648;0
